@relation FemaleData

@attribute 'Cancer Site' {'All Sites','Colon and Rectum','Lung and Bronchus',Ovary,'Brain and Other Nervous System','Female Breast'}
@attribute 'Cancer Free Age' numeric
@attribute 'Probability of Developing Cancer (\%) by Age' numeric
@attribute Risk numeric

@data
'Colon and Rectum',15,70,1.594
'Colon and Rectum',15,75,2.086
'Colon and Rectum',15,80,2.659
'Colon and Rectum',15,85,3.255
'Colon and Rectum',15,90,3.736
'Colon and Rectum',15,95,3.99
'Colon and Rectum',15,95,4.099
'Colon and Rectum',20,5,?
'Colon and Rectum',20,10,?
'Colon and Rectum',20,15,?
'Colon and Rectum',20,20,?
'Colon and Rectum',20,25,0.008
'Colon and Rectum',20,30,0.023
'Colon and Rectum',20,35,0.052
'Colon and Rectum',20,40,0.102
'Colon and Rectum',20,45,0.19
'Colon and Rectum',20,50,0.338
'Colon and Rectum',20,55,0.575
'Colon and Rectum',20,60,0.845
'Colon and Rectum',20,65,1.173
'Colon and Rectum',20,70,1.591
'Colon and Rectum',20,75,2.083
'Colon and Rectum',20,80,2.657
'Colon and Rectum',20,85,3.254
'Colon and Rectum',20,90,3.736
'Colon and Rectum',20,95,3.991
'Colon and Rectum',20,95,4.1
'Colon and Rectum',25,5,?
'Colon and Rectum',25,10,?
'Colon and Rectum',25,15,?
'Colon and Rectum',25,20,?
'Colon and Rectum',25,25,?
'Colon and Rectum',25,30,0.015
'Colon and Rectum',25,35,0.044
'Colon and Rectum',25,40,0.094
'Colon and Rectum',25,45,0.182
'Colon and Rectum',25,50,0.331
'Colon and Rectum',25,55,0.569
'Colon and Rectum',25,60,0.839
'Colon and Rectum',25,65,1.168
'Colon and Rectum',25,70,1.586
'Colon and Rectum',25,75,2.08
'Colon and Rectum',25,80,2.655
'Colon and Rectum',25,85,3.253
'Colon and Rectum',25,90,3.736
'Colon and Rectum',25,95,3.991
'Colon and Rectum',25,95,4.101
'Colon and Rectum',30,5,?
'Colon and Rectum',30,10,?
'Colon and Rectum',30,15,?
'Colon and Rectum',30,20,?
'Colon and Rectum',30,25,?
'Colon and Rectum',30,30,?
'Colon and Rectum',30,35,0.029
'Colon and Rectum',30,40,0.079
'Colon and Rectum',30,45,0.168
'Colon and Rectum',30,50,0.317
'Colon and Rectum',30,55,0.555
'Colon and Rectum',30,60,0.826
'Colon and Rectum',30,65,1.156
'Colon and Rectum',30,70,1.576
'Colon and Rectum',30,75,2.071
'Colon and Rectum',30,80,2.648
'Colon and Rectum',30,85,3.247
'Colon and Rectum',30,90,3.731
'Colon and Rectum',30,95,3.987
'Colon and Rectum',30,95,4.097
'Colon and Rectum',35,5,?
'Colon and Rectum',35,10,?
'Colon and Rectum',35,15,?
'Colon and Rectum',35,20,?
'Colon and Rectum',35,25,?
'Colon and Rectum',35,30,?
'Colon and Rectum',35,35,?
'Colon and Rectum',35,40,0.05
'Colon and Rectum',35,45,0.139
'Colon and Rectum',35,50,0.288
'Colon and Rectum',35,55,0.528
'Colon and Rectum',35,60,0.8
'Colon and Rectum',35,65,1.131
'Colon and Rectum',35,70,1.552
'Colon and Rectum',35,75,2.049
'Colon and Rectum',35,80,2.628
'Colon and Rectum',35,85,3.23
'Colon and Rectum',35,90,3.716
'Colon and Rectum',35,95,3.973
'Colon and Rectum',35,95,4.083
'Colon and Rectum',40,5,?
'Colon and Rectum',40,10,?
'Colon and Rectum',40,15,?
'Colon and Rectum',40,20,?
'Colon and Rectum',40,25,?
'Colon and Rectum',40,30,?
'Colon and Rectum',40,35,?
'Colon and Rectum',40,40,?
'Colon and Rectum',40,45,0.089
'Colon and Rectum',40,50,0.24
'Colon and Rectum',40,55,0.48
'Colon and Rectum',40,60,0.754
'Colon and Rectum',40,65,1.087
'Colon and Rectum',40,70,1.51
'Colon and Rectum',40,75,2.01
'Colon and Rectum',40,80,2.592
'Colon and Rectum',40,85,3.197
'Colon and Rectum',40,90,3.686
'Colon and Rectum',40,95,3.944
'Colon and Rectum',40,95,4.055
'Colon and Rectum',45,5,?
'Colon and Rectum',45,10,?
'Colon and Rectum',45,15,?
'Colon and Rectum',45,20,?
'Colon and Rectum',45,25,?
'Colon and Rectum',45,30,?
'Colon and Rectum',45,35,?
'Colon and Rectum',45,40,?
'Colon and Rectum',45,45,?
'Colon and Rectum',45,50,0.151
'Colon and Rectum',45,55,0.394
'Colon and Rectum',45,60,0.67
'Colon and Rectum',45,65,1.006
'Colon and Rectum',45,70,1.433
'Colon and Rectum',45,75,1.936
'Colon and Rectum',45,80,2.523
'Colon and Rectum',45,85,3.133
'Colon and Rectum',45,90,3.625
'Colon and Rectum',45,95,3.886
'Colon and Rectum',45,95,3.998
'Colon and Rectum',50,5,?
'Colon and Rectum',50,10,?
'Colon and Rectum',50,15,?
'Colon and Rectum',50,20,?
'Colon and Rectum',50,25,?
'Colon and Rectum',50,30,?
'Colon and Rectum',50,35,?
'Colon and Rectum',50,40,?
'Colon and Rectum',50,45,?
'Colon and Rectum',50,50,?
'Colon and Rectum',50,55,0.246
'Colon and Rectum',50,60,0.525
'Colon and Rectum',50,65,0.865
'Colon and Rectum',50,70,1.298
'Colon and Rectum',50,75,1.807
'Colon and Rectum',50,80,2.402
'Colon and Rectum',50,85,3.019
'Colon and Rectum',50,90,3.518
'Colon and Rectum',50,95,3.782
'Colon and Rectum',50,95,3.895
'Colon and Rectum',55,5,?
'Colon and Rectum',55,10,?
'Colon and Rectum',55,15,?
'Colon and Rectum',55,20,?
'Colon and Rectum',55,25,?
'Colon and Rectum',55,30,?
'Colon and Rectum',55,35,?
'Colon and Rectum',55,40,?
'Colon and Rectum',55,45,?
