@relation FemaleData

@attribute 'Cancer Site' {'All Sites','Colon and Rectum','Lung and Bronchus',Ovary,'Brain and Other Nervous System','Female Breast'}
@attribute 'Cancer Free Age' numeric
@attribute 'Probability of Developing Cancer (\%) by Age' numeric
@attribute Risk numeric

@data
'Brain and Other Nervous System',35,85,0.403
'Brain and Other Nervous System',35,90,0.439
'Brain and Other Nervous System',35,95,0.455
'Brain and Other Nervous System',35,95,0.463
'Brain and Other Nervous System',40,5,?
'Brain and Other Nervous System',40,10,?
'Brain and Other Nervous System',40,15,?
'Brain and Other Nervous System',40,20,?
'Brain and Other Nervous System',40,25,?
'Brain and Other Nervous System',40,30,?
'Brain and Other Nervous System',40,35,?
'Brain and Other Nervous System',40,40,?
'Brain and Other Nervous System',40,45,0.017
'Brain and Other Nervous System',40,50,0.04
'Brain and Other Nervous System',40,55,0.071
'Brain and Other Nervous System',40,60,0.11
'Brain and Other Nervous System',40,65,0.155
'Brain and Other Nervous System',40,70,0.211
'Brain and Other Nervous System',40,75,0.274
'Brain and Other Nervous System',40,80,0.335
'Brain and Other Nervous System',40,85,0.389
'Brain and Other Nervous System',40,90,0.426
'Brain and Other Nervous System',40,95,0.442
'Brain and Other Nervous System',40,95,0.45
'Brain and Other Nervous System',45,5,?
'Brain and Other Nervous System',45,10,?
'Brain and Other Nervous System',45,15,?
'Brain and Other Nervous System',45,20,?
'Brain and Other Nervous System',45,25,?
'Brain and Other Nervous System',45,30,?
'Brain and Other Nervous System',45,35,?
'Brain and Other Nervous System',45,40,?
'Brain and Other Nervous System',45,45,?
'Brain and Other Nervous System',45,50,0.023
'Brain and Other Nervous System',45,55,0.054
'Brain and Other Nervous System',45,60,0.093
'Brain and Other Nervous System',45,65,0.138
'Brain and Other Nervous System',45,70,0.195
'Brain and Other Nervous System',45,75,0.259
'Brain and Other Nervous System',45,80,0.32
'Brain and Other Nervous System',45,85,0.375
'Brain and Other Nervous System',45,90,0.411
'Brain and Other Nervous System',45,95,0.428
'Brain and Other Nervous System',45,95,0.436
'Brain and Other Nervous System',50,5,?
'Brain and Other Nervous System',50,10,?
'Brain and Other Nervous System',50,15,?
'Brain and Other Nervous System',50,20,?
'Brain and Other Nervous System',50,25,?
'Brain and Other Nervous System',50,30,?
'Brain and Other Nervous System',50,35,?
'Brain and Other Nervous System',50,40,?
'Brain and Other Nervous System',50,45,?
'Brain and Other Nervous System',50,50,?
'Brain and Other Nervous System',50,55,0.032
'Brain and Other Nervous System',50,60,0.071
'Brain and Other Nervous System',50,65,0.117
'Brain and Other Nervous System',50,70,0.174
'Brain and Other Nervous System',50,75,0.238
'Brain and Other Nervous System',50,80,0.3
'Brain and Other Nervous System',50,85,0.356
'Brain and Other Nervous System',50,90,0.393
'Brain and Other Nervous System',50,95,0.41
'Brain and Other Nervous System',50,95,0.418
'Brain and Other Nervous System',55,5,?
'Brain and Other Nervous System',55,10,?
'Brain and Other Nervous System',55,15,?
'Brain and Other Nervous System',55,20,?
'Brain and Other Nervous System',55,25,?
'Brain and Other Nervous System',55,30,?
'Brain and Other Nervous System',55,35,?
'Brain and Other Nervous System',55,40,?
'Brain and Other Nervous System',55,45,?
'Brain and Other Nervous System',55,50,?
'Brain and Other Nervous System',55,55,?
'Brain and Other Nervous System',55,60,0.04
'Brain and Other Nervous System',55,65,0.087
'Brain and Other Nervous System',55,70,0.145
'Brain and Other Nervous System',55,75,0.211
'Brain and Other Nervous System',55,80,0.274
'Brain and Other Nervous System',55,85,0.33
'Brain and Other Nervous System',55,90,0.368
'Brain and Other Nervous System',55,95,0.385
'Brain and Other Nervous System',55,95,0.393
'Brain and Other Nervous System',60,5,?
'Brain and Other Nervous System',60,10,?
'Brain and Other Nervous System',60,15,?
'Brain and Other Nervous System',60,20,?
'Brain and Other Nervous System',60,25,?
'Brain and Other Nervous System',60,30,?
'Brain and Other Nervous System',60,35,?
'Brain and Other Nervous System',60,40,?
'Brain and Other Nervous System',60,45,?
'Brain and Other Nervous System',60,50,?
'Brain and Other Nervous System',60,55,?
'Brain and Other Nervous System',60,60,?
'Brain and Other Nervous System',60,65,0.048
'Brain and Other Nervous System',60,70,0.108
'Brain and Other Nervous System',60,75,0.175
'Brain and Other Nervous System',60,80,0.24
'Brain and Other Nervous System',60,85,0.298
'Brain and Other Nervous System',60,90,0.337
'Brain and Other Nervous System',60,95,0.354
'Brain and Other Nervous System',60,95,0.363
'Brain and Other Nervous System',65,5,?
'Brain and Other Nervous System',65,10,?
'Brain and Other Nervous System',65,15,?
'Brain and Other Nervous System',65,20,?
'Brain and Other Nervous System',65,25,?
'Brain and Other Nervous System',65,30,?
'Brain and Other Nervous System',65,35,?
'Brain and Other Nervous System',65,40,?
'Brain and Other Nervous System',65,45,?
'Brain and Other Nervous System',65,50,?
'Brain and Other Nervous System',65,55,?
'Brain and Other Nervous System',65,60,?
'Brain and Other Nervous System',65,65,?
'Brain and Other Nervous System',65,70,0.062
'Brain and Other Nervous System',65,75,0.132
'Brain and Other Nervous System',65,80,0.199
'Brain and Other Nervous System',65,85,0.26
'Brain and Other Nervous System',65,90,0.3
'Brain and Other Nervous System',65,95,0.318
'Brain and Other Nervous System',65,95,0.327
'Brain and Other Nervous System',70,5,?
'Brain and Other Nervous System',70,10,?
'Brain and Other Nervous System',70,15,?
'Brain and Other Nervous System',70,20,?
'Brain and Other Nervous System',70,25,?
'Brain and Other Nervous System',70,30,?
'Brain and Other Nervous System',70,35,?
'Brain and Other Nervous System',70,40,?
'Brain and Other Nervous System',70,45,?
'Brain and Other Nervous System',70,50,?
'Brain and Other Nervous System',70,55,?
'Brain and Other Nervous System',70,60,?
'Brain and Other Nervous System',70,65,?
'Brain and Other Nervous System',70,70,?
'Brain and Other Nervous System',70,75,0.074
'Brain and Other Nervous System',70,80,0.145
'Brain and Other Nervous System',70,85,0.209
'Brain and Other Nervous System',70,90,0.251
'Brain and Other Nervous System',70,95,0.271
'Brain and Other Nervous System',70,95,0.28
'Brain and Other Nervous System',75,5,?
'Brain and Other Nervous System',75,10,?
'Brain and Other Nervous System',75,15,?
'Brain and Other Nervous System',75,20,?
'Brain and Other Nervous System',75,25,?
'Brain and Other Nervous System',75,30,?
'Brain and Other Nervous System',75,35,?
'Brain and Other Nervous System',75,40,?
'Brain and Other Nervous System',75,45,?
'Brain and Other Nervous System',75,50,?
'Brain and Other Nervous System',75,55,?
'Brain and Other Nervous System',75,60,?
'Brain and Other Nervous System',75,65,?
'Brain and Other Nervous System',75,70,?
'Brain and Other Nervous System',75,75,?
'Brain and Other Nervous System',75,80,0.078
'Brain and Other Nervous System',75,85,0.148
'Brain and Other Nervous System',75,90,0.195
'Brain and Other Nervous System',75,95,0.216
'Brain and Other Nervous System',75,95,0.226
'Brain and Other Nervous System',80,5,?
'Brain and Other Nervous System',80,10,?
'Brain and Other Nervous System',80,15,?
'Brain and Other Nervous System',80,20,?
'Brain and Other Nervous System',80,25,?
'Brain and Other Nervous System',80,30,?
'Brain and Other Nervous System',80,35,?
'Brain and Other Nervous System',80,40,?
'Brain and Other Nervous System',80,45,?
'Brain and Other Nervous System',80,50,?
'Brain and Other Nervous System',80,55,?
'Brain and Other Nervous System',80,60,?
'Brain and Other Nervous System',80,65,?
'Brain and Other Nervous System',80,70,?
'Brain and Other Nervous System',80,75,?
'Brain and Other Nervous System',80,80,?
'Brain and Other Nervous System',80,85,0.081
'Brain and Other Nervous System',80,90,0.136
'Brain and Other Nervous System',80,95,0.16
'Brain and Other Nervous System',80,95,0.172
'Brain and Other Nervous System',85,5,?
'Brain and Other Nervous System',85,10,?
'Brain and Other Nervous System',85,15,?
'Brain and Other Nervous System',85,20,?
'Brain and Other Nervous System',85,25,?
'Brain and Other Nervous System',85,30,?
'Brain and Other Nervous System',85,35,?
'Brain and Other Nervous System',85,40,?
'Brain and Other Nervous System',85,45,?
'Brain and Other Nervous System',85,50,?
'Brain and Other Nervous System',85,55,?
'Brain and Other Nervous System',85,60,?
'Brain and Other Nervous System',85,65,?
'Brain and Other Nervous System',85,70,?
'Brain and Other Nervous System',85,75,?
'Brain and Other Nervous System',85,80,?
'Brain and Other Nervous System',85,85,?
'Brain and Other Nervous System',85,90,0.07
'Brain and Other Nervous System',85,95,0.103
'Brain and Other Nervous System',85,95,0.118
'Brain and Other Nervous System',90,5,?
'Brain and Other Nervous System',90,10,?
'Brain and Other Nervous System',90,15,?
'Brain and Other Nervous System',90,20,?
'Brain and Other Nervous System',90,25,?
'Brain and Other Nervous System',90,30,?
'Brain and Other Nervous System',90,35,?
'Brain and Other Nervous System',90,40,?
'Brain and Other Nervous System',90,45,?
'Brain and Other Nervous System',90,50,?
'Brain and Other Nervous System',90,55,?
'Brain and Other Nervous System',90,60,?
'Brain and Other Nervous System',90,65,?
'Brain and Other Nervous System',90,70,?
'Brain and Other Nervous System',90,75,?
'Brain and Other Nervous System',90,80,?
'Brain and Other Nervous System',90,85,?
'Brain and Other Nervous System',90,90,?
'Brain and Other Nervous System',90,95,0.051
'Brain and Other Nervous System',90,95,0.075
'Brain and Other Nervous System',95,5,?
'Brain and Other Nervous System',95,10,?
'Brain and Other Nervous System',95,15,?
'Brain and Other Nervous System',95,20,?
'Brain and Other Nervous System',95,25,?
'Brain and Other Nervous System',95,30,?
'Brain and Other Nervous System',95,35,?
'Brain and Other Nervous System',95,40,?
'Brain and Other Nervous System',95,45,?
'Brain and Other Nervous System',95,50,?
'Brain and Other Nervous System',95,55,?
'Brain and Other Nervous System',95,60,?
'Brain and Other Nervous System',95,65,?
'Brain and Other Nervous System',95,70,?
'Brain and Other Nervous System',95,75,?
'Brain and Other Nervous System',95,80,?
'Brain and Other Nervous System',95,85,?
'Brain and Other Nervous System',95,90,?
'Brain and Other Nervous System',95,95,?
'Brain and Other Nervous System',95,95,0.053
'Female Breast',0,5,0
'Female Breast',0,10,0
'Female Breast',0,15,0
'Female Breast',0,20,0.002
'Female Breast',0,25,0.014
'Female Breast',0,30,0.066
'Female Breast',0,35,0.208
'Female Breast',0,40,0.518
'Female Breast',0,45,1.105
'Female Breast',0,50,1.964
'Female Breast',0,55,2.989
'Female Breast',0,60,4.152
'Female Breast',0,65,5.566
'Female Breast',0,70,7.213
'Female Breast',0,75,8.863
'Female Breast',0,80,10.283
'Female Breast',0,85,11.342
'Female Breast',0,90,12.008
'Female Breast',0,95,12.309
'Female Breast',0,95,12.439
'Female Breast',5,5,?
'Female Breast',5,10,0
'Female Breast',5,15,0
'Female Breast',5,20,0.002
'Female Breast',5,25,0.014
'Female Breast',5,30,0.066
'Female Breast',5,35,0.209
'Female Breast',5,40,0.523
'Female Breast',5,45,1.116
'Female Breast',5,50,1.982
'Female Breast',5,55,3.017
'Female Breast',5,60,4.191
'Female Breast',5,65,5.618
'Female Breast',5,70,7.279
'Female Breast',5,75,8.946
'Female Breast',5,80,10.378
'Female Breast',5,85,11.447
'Female Breast',5,90,12.119
'Female Breast',5,95,12.423
'Female Breast',5,95,12.555
'Female Breast',10,5,?
'Female Breast',10,10,?
'Female Breast',10,15,0
'Female Breast',10,20,0.002
'Female Breast',10,25,0.014
'Female Breast',10,30,0.066
'Female Breast',10,35,0.21
'Female Breast',10,40,0.523
'Female Breast',10,45,1.116
'Female Breast',10,50,1.983
'Female Breast',10,55,3.019
'Female Breast',10,60,4.193
'Female Breast',10,65,5.621
'Female Breast',10,70,7.283
'Female Breast',10,75,8.95
'Female Breast',10,80,10.384
'Female Breast',10,85,11.454
'Female Breast',10,90,12.126
'Female Breast',10,95,12.43
'Female Breast',10,95,12.562
'Female Breast',15,5,?
'Female Breast',15,10,?
'Female Breast',15,15,?
'Female Breast',15,20,0.001
'Female Breast',15,25,0.014
'Female Breast',15,30,0.066
'Female Breast',15,35,0.21
'Female Breast',15,40,0.524
'Female Breast',15,45,1.117
'Female Breast',15,50,1.984
'Female Breast',15,55,3.02
'Female Breast',15,60,4.196
'Female Breast',15,65,5.624
'Female Breast',15,70,7.288
'Female Breast',15,75,8.956
'Female Breast',15,80,10.39
'Female Breast',15,85,11.461
'Female Breast',15,90,12.134
'Female Breast',15,95,12.438
'Female Breast',15,95,12.57
'Female Breast',20,5,?
'Female Breast',20,10,?
'Female Breast',20,15,?
'Female Breast',20,20,?
'Female Breast',20,25,0.012
'Female Breast',20,30,0.065
'Female Breast',20,35,0.208
'Female Breast',20,40,0.523
'Female Breast',20,45,1.117
'Female Breast',20,50,1.985
'Female Breast',20,55,3.023
'Female Breast',20,60,4.2
'Female Breast',20,65,5.63
'Female Breast',20,70,7.296
'Female Breast',20,75,8.966
'Female Breast',20,80,10.402
'Female Breast',20,85,11.474
'Female Breast',20,90,12.148
'Female Breast',20,95,12.453
'Female Breast',20,95,12.584
'Female Breast',25,5,?
'Female Breast',25,10,?
'Female Breast',25,15,?
'Female Breast',25,20,?
'Female Breast',25,25,?
'Female Breast',25,30,0.053
'Female Breast',25,35,0.197
'Female Breast',25,40,0.512
'Female Breast',25,45,1.107
'Female Breast',25,50,1.977
'Female Breast',25,55,3.017
'Female Breast',25,60,4.197
'Female Breast',25,65,5.63
'Female Breast',25,70,7.299
'Female Breast',25,75,8.973
'Female Breast',25,80,10.412
'Female Breast',25,85,11.487
'Female Breast',25,90,12.162
'Female Breast',25,95,12.467
'Female Breast',25,95,12.599
'Female Breast',30,5,?
'Female Breast',30,10,?
'Female Breast',30,15,?
'Female Breast',30,20,?
'Female Breast',30,25,?
'Female Breast',30,30,?
'Female Breast',30,35,0.144
'Female Breast',30,40,0.46
'Female Breast',30,45,1.057
'Female Breast',30,50,1.931
'Female Breast',30,55,2.974
'Female Breast',30,60,4.157
'Female Breast',30,65,5.595
'Female Breast',30,70,7.27
'Female Breast',30,75,8.949
'Female Breast',30,80,10.393
'Female Breast',30,85,11.47
'Female Breast',30,90,12.148
'Female Breast',30,95,12.454
'Female Breast',30,95,12.586
'Female Breast',35,5,?
'Female Breast',35,10,?
'Female Breast',35,15,?
'Female Breast',35,20,?
'Female Breast',35,25,?
'Female Breast',35,30,?
'Female Breast',35,35,?
'Female Breast',35,40,0.318
'Female Breast',35,45,0.918
'Female Breast',35,50,1.795
'Female Breast',35,55,2.843
'Female Breast',35,60,4.032
'Female Breast',35,65,5.478
'Female Breast',35,70,7.16
'Female Breast',35,75,8.848
'Female Breast',35,80,10.299
'Female Breast',35,85,11.382
'Female Breast',35,90,12.062
'Female Breast',35,95,12.37
'Female Breast',35,95,12.503
'Female Breast',40,5,?
'Female Breast',40,10,?
'Female Breast',40,15,?
'Female Breast',40,20,?
'Female Breast',40,25,?
'Female Breast',40,30,?
'Female Breast',40,35,?
'Female Breast',40,40,?
'Female Breast',40,45,0.605
'Female Breast',40,50,1.489
'Female Breast',40,55,2.546
'Female Breast',40,60,3.744
'Female Breast',40,65,5.2
'Female Breast',40,70,6.897
'Female Breast',40,75,8.597
'Female Breast',40,80,10.059
'Female Breast',40,85,11.151
'Female Breast',40,90,11.837
'Female Breast',40,95,12.147
'Female Breast',40,95,12.281
'Female Breast',45,5,?
'Female Breast',45,10,?
'Female Breast',45,15,?
'Female Breast',45,20,?
'Female Breast',45,25,?
'Female Breast',45,30,?
'Female Breast',45,35,?
'Female Breast',45,40,?
'Female Breast',45,45,?
'Female Breast',45,50,0.896
'Female Breast',45,55,1.966
'Female Breast',45,60,3.18
'Female Breast',45,65,4.655
'Female Breast',45,70,6.373
'Female Breast',45,75,8.096
'Female Breast',45,80,9.577
'Female Breast',45,85,10.682
'Female Breast',45,90,11.377
'Female Breast',45,95,11.691
'Female Breast',45,95,11.827
'Female Breast',50,5,?
'Female Breast',50,10,?
'Female Breast',50,15,?
'Female Breast',50,20,?
'Female Breast',50,25,?
'Female Breast',50,30,?
'Female Breast',50,35,?
'Female Breast',50,40,?
'Female Breast',50,45,?
'Female Breast',50,50,?
'Female Breast',50,55,1.091
'Female Breast',50,60,2.329
'Female Breast',50,65,3.833
'Female Breast',50,70,5.585
'Female Breast',50,75,7.342
'Female Breast',50,80,8.852
'Female Breast',50,85,9.979
'Female Breast',50,90,10.688
'Female Breast',50,95,11.008
'Female Breast',50,95,11.147
'Female Breast',55,5,?
'Female Breast',55,10,?
'Female Breast',55,15,?
'Female Breast',55,20,?
'Female Breast',55,25,?
'Female Breast',55,30,?
'Female Breast',55,35,?
'Female Breast',55,40,?
'Female Breast',55,45,?
'Female Breast',55,50,?
'Female Breast',55,55,?
'Female Breast',55,60,1.272
'Female Breast',55,65,2.819
'Female Breast',55,70,4.619
'Female Breast',55,75,6.425
'Female Breast',55,80,7.977
'Female Breast',55,85,9.136
'Female Breast',55,90,9.865
'Female Breast',55,95,10.194
'Female Breast',55,95,10.336
'Female Breast',60,5,?
'Female Breast',60,10,?
'Female Breast',60,15,?
'Female Breast',60,20,?
'Female Breast',60,25,?
'Female Breast',60,30,?
'Female Breast',60,35,?
'Female Breast',60,40,?
'Female Breast',60,45,?
'Female Breast',60,50,?
'Female Breast',60,55,?
'Female Breast',60,60,?
'Female Breast',60,65,1.605
'Female Breast',60,70,3.474
'Female Breast',60,75,5.348
'Female Breast',60,80,6.959
'Female Breast',60,85,8.162
'Female Breast',60,90,8.917
'Female Breast',60,95,9.259
'Female Breast',60,95,9.407
'Female Breast',65,5,?
'Female Breast',65,10,?
'Female Breast',65,15,?
'Female Breast',65,20,?
'Female Breast',65,25,?
'Female Breast',65,30,?
'Female Breast',65,35,?
'Female Breast',65,40,?
'Female Breast',65,45,?
'Female Breast',65,50,?
'Female Breast',65,55,?
'Female Breast',65,60,?
'Female Breast',65,65,?
'Female Breast',65,70,1.968
'Female Breast',65,75,3.941
'Female Breast',65,80,5.638
'Female Breast',65,85,6.904
'Female Breast',65,90,7.7
'Female Breast',65,95,8.06
'Female Breast',65,95,8.215
'Female Breast',70,5,?
'Female Breast',70,10,?
'Female Breast',70,15,?
'Female Breast',70,20,?
'Female Breast',70,25,?
'Female Breast',70,30,?
'Female Breast',70,35,?
'Female Breast',70,40,?
'Female Breast',70,45,?
'Female Breast',70,50,?
'Female Breast',70,55,?
'Female Breast',70,60,?
'Female Breast',70,65,?
'Female Breast',70,70,?
'Female Breast',70,75,2.125
'Female Breast',70,80,3.951
'Female Breast',70,85,5.315
'Female Breast',70,90,6.172
'Female Breast',70,95,6.56
'Female Breast',70,95,6.727
'Female Breast',75,5,?
'Female Breast',75,10,?
'Female Breast',75,15,?
'Female Breast',75,20,?
'Female Breast',75,25,?
'Female Breast',75,30,?
'Female Breast',75,35,?
'Female Breast',75,40,?
'Female Breast',75,45,?
'Female Breast',75,50,?
'Female Breast',75,55,?
'Female Breast',75,60,?
'Female Breast',75,65,?
'Female Breast',75,70,?
'Female Breast',75,75,?
'Female Breast',75,80,2.038
'Female Breast',75,85,3.56
'Female Breast',75,90,4.516
'Female Breast',75,95,4.948
'Female Breast',75,95,5.135
'Female Breast',80,5,?
'Female Breast',80,10,?
'Female Breast',80,15,?
'Female Breast',80,20,?
'Female Breast',80,25,?
'Female Breast',80,30,?
'Female Breast',80,35,?
'Female Breast',80,40,?
'Female Breast',80,45,?
'Female Breast',80,50,?
'Female Breast',80,55,?
'Female Breast',80,60,?
'Female Breast',80,65,?
'Female Breast',80,70,?
'Female Breast',80,75,?
'Female Breast',80,80,?
'Female Breast',80,85,1.801
'Female Breast',80,90,2.932
'Female Breast',80,95,3.444
'Female Breast',80,95,3.665
'Female Breast',85,5,?
'Female Breast',85,10,?
'Female Breast',85,15,?
'Female Breast',85,20,?
'Female Breast',85,25,?
'Female Breast',85,30,?
'Female Breast',85,35,?
'Female Breast',85,40,?
'Female Breast',85,45,?
'Female Breast',85,50,?
'Female Breast',85,55,?
'Female Breast',85,60,?
'Female Breast',85,65,?
'Female Breast',85,70,?
'Female Breast',85,75,?
'Female Breast',85,80,?
'Female Breast',85,85,?
'Female Breast',85,90,1.491
'Female Breast',85,95,2.165
'Female Breast',85,95,2.456
'Female Breast',90,5,?
'Female Breast',90,10,?
'Female Breast',90,15,?
'Female Breast',90,20,?
'Female Breast',90,25,?
'Female Breast',90,30,?
'Female Breast',90,35,?
'Female Breast',90,40,?
'Female Breast',90,45,?
'Female Breast',90,50,?
'Female Breast',90,55,?
'Female Breast',90,60,?
'Female Breast',90,65,?
'Female Breast',90,70,?
'Female Breast',90,75,?
'Female Breast',90,80,?
'Female Breast',90,85,?
'Female Breast',90,90,?
'Female Breast',90,95,1.082
'Female Breast',90,95,1.549
'Female Breast',95,5,?
'Female Breast',95,10,?
'Female Breast',95,15,?
'Female Breast',95,20,?
'Female Breast',95,25,?
'Female Breast',95,30,?
'Female Breast',95,35,?
'Female Breast',95,40,?
'Female Breast',95,45,?
'Female Breast',95,50,?
'Female Breast',95,55,?
'Female Breast',95,60,?
'Female Breast',95,65,?
'Female Breast',95,70,?
'Female Breast',95,75,?
'Female Breast',95,80,?
'Female Breast',95,85,?
'Female Breast',95,90,?
'Female Breast',95,95,?
'Female Breast',95,95,1.027
?,?,?,?
?,?,?,?
?,?,?,?
?,?,?,?
?,?,?,?
